,0
0,Alabama
1,Alaska
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Hawaii
8,Idaho
9,Illinois
10,Indiana
11,Iowa
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Missouri
19,Montana
20,Nebraska
21,New Hampshire
22,New Jersey
23,New Mexico
24,North Carolina
25,North Dakota
26,Oklahoma
27,Rhode Island
28,South Carolina
29,South Dakota
30,Tennessee
31,Utah
32,Virginia
33,West Virginia
34,Wisconsin
35,Wyoming
